size,treat,conf,var,Bias 1,SD 1,rootMSE 1,MAE 1,MedAE 1,Bias 2,SD 2,rootMSE 2,MAE 2,MedAE 2,Bias 3,SD 3,rootMSE 3,MAE 3,MedAE 3
200,0.25,1,Naive,-0.2443779779275701,0.5672319610620574,0.617634757560061,0.48208932884283734,0.3884671237195221,0.2169557397570685,1.4053253894457476,1.421973713974481,1.1219225863540787,0.9644173032575809,0.2547050813067795,0.64968591584662,0.6978298271734698,0.5636201128959151,0.48118791525502047
200,0.25,1,IPW,0.01503713686740582,0.5881676289673105,0.5883598178412568,0.45262140269408635,0.3472829879215311,-0.04367613096757861,1.4517928360505763,1.4524496697731295,1.1442989001746215,0.9539503097680413,0.021658301416678682,0.6587297524889814,0.6590857067441611,0.5319017355823714,0.4690926890520173
200,0.25,1,Aggregated cali.,0.015173617046897903,0.587181555525972,0.5873775768653294,0.45216780025155273,0.34736543936124775,-0.04337512702009594,1.4495715823976887,1.4502203881269042,1.1424109378506335,0.9705410197533433,0.02104177477600766,0.6572522196180831,0.6575889570838467,0.5309878408512521,0.4702768864935192
200,0.25,1,Calibration by time,0.015407437186112816,0.5886133250704703,0.5888149417016854,0.4533883416611613,0.3471462807894028,-0.03506440528525978,1.4396859156178468,1.4401128595170611,1.1351929380734316,0.9285916301444161,0.01811778951965648,0.6592022435323525,0.659451174974437,0.5354619811701229,0.4878792229414335
200,0.25,1,Aggregated cali. with time,0.015027306894666026,0.5880865981659364,0.5882785623281628,0.4525748500624896,0.3532470497958897,-0.04213804306420954,1.4469482824857656,1.447561724715664,1.1393699441312417,0.9682215489517887,0.02187120560930067,0.6543191732744672,0.6546846035683034,0.5288834328509177,0.47231832747528735
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.25,1,Naive miss.,-0.2443779779275701,0.5672319610620574,0.617634757560061,0.48208932884283734,0.3884671237195221,0.2169557397570685,1.4053253894457476,1.421973713974481,1.1219225863540787,0.9644173032575809,0.2547050813067795,0.64968591584662,0.6978298271734698,0.5636201128959151,0.48118791525502047
200,0.25,1,IPW miss.,-0.10952147241505372,0.5909532289216526,0.6010163655782499,0.46521391552792535,0.36724366320488855,0.08261540201141049,1.4575600478033448,1.4598995162688408,1.1518971282750483,0.937288724922261,0.08098823647590025,0.6691847346086847,0.6740677291495062,0.5456878903918437,0.4769758547826912
200,0.25,1,Aggregated cali. miss.,-0.10986217974769374,0.5898424042898394,0.5999864668784896,0.4644382502818513,0.365431167598139,0.08054334429054766,1.4520251719253638,1.4542573122437406,1.1493921478872418,0.9334019443749035,0.08178539819804165,0.6662989278323995,0.6712995699306066,0.544275320498429,0.4748907163030789
200,0.25,1,Calibration by time miss.,-0.10924860696103167,0.5926856955974289,0.6026703841145126,0.4661544789168426,0.37015351309927524,0.09198637096885953,1.4487408860735538,1.4516582405735885,1.145293296515106,0.8931311887846007,0.07526237746340136,0.6669421408734969,0.6711752712476577,0.5445764223277387,0.47875717622037417
200,0.25,1,Aggregated cali. with time miss.,-0.1096405546245478,0.5907680239090264,0.6008559804909612,0.46513889804493935,0.3646803048817375,0.08260588280665804,1.4508170875783286,1.4531668704878773,1.1461369004274755,0.9346352481926918,0.08201485751466109,0.6645640692137657,0.6696057339532786,0.5433276977815126,0.47118114858025506
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.25,1.5,Naive,-0.4925904791127067,0.5451889315104677,0.7347627856349362,0.5951205994917336,0.5109501216901577,0.46516507618436265,1.3669590571230852,1.4439375374137338,1.166281272863221,1.0080705109560437,0.49901878619219664,0.6488510126805113,0.8185520054518578,0.6621358504698102,0.5900856826899259
200,0.25,1.5,IPW,-0.03891727846894355,0.5651272352935476,0.5664656623608866,0.45942541122849495,0.3939378314423152,-0.00744030718129185,1.4561363953741087,1.4561554038302555,1.1535048932583944,0.9602089577054977,0.042554733406203304,0.7827635944514139,0.7839194793687491,0.5874786741763347,0.4549882885290173
200,0.25,1.5,Aggregated cali.,-0.04037287650253063,0.5634892821640686,0.5649337485677997,0.45855753035761326,0.3905525725586685,-0.0050871031625092655,1.453474346859116,1.4534832491625487,1.1521057942489914,0.9546059431692808,0.045460154131380826,0.7646741725833002,0.7660242919317922,0.5849593372112383,0.4578219526912388
200,0.25,1.5,Calibration by time,-0.03936627130774184,0.5639210981466435,0.5652934709083336,0.4592797723541422,0.3900439178690931,-0.013259099792844786,1.411122671088861,1.4111849618630004,1.1303284278769214,0.975681744585907,0.05128951337601784,0.7266701566738661,0.7284779549051363,0.5747821040782526,0.47107665614956695
200,0.25,1.5,Aggregated cali. with time,-0.039836229373051424,0.5647127754812853,0.5661161046662062,0.4591906123118749,0.39421706579722127,-0.01527097293886559,1.4378612133378563,1.4379423046269666,1.1441283584374309,0.9569501756808267,0.05218842926745726,0.7423085546362825,0.7441408619580108,0.5787781112752977,0.44876007159479414
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.25,1.5,Naive miss.,-0.4925904791127067,0.5451889315104677,0.7347627856349362,0.5951205994917336,0.5109501216901577,0.46516507618436265,1.3669590571230852,1.4439375374137338,1.166281272863221,1.0080705109560437,0.49901878619219664,0.6488510126805113,0.8185520054518578,0.6621358504698102,0.5900856826899259
200,0.25,1.5,IPW miss.,-0.2390701301214051,0.5714766578106008,0.6194675920002918,0.49616074864840315,0.4125164654387419,0.19074376067212828,1.4540328092924772,1.4664905702848279,1.1596706110264063,0.9533931430291487,0.142670292052006,0.7717113911818428,0.7847886871725535,0.5975922377048097,0.4703713448746889
200,0.25,1.5,Aggregated cali. miss.,-0.2406878102068788,0.5704683614832703,0.6191645770193815,0.4959382521356113,0.41320798350315613,0.19420205712895644,1.433845493981687,1.4469372272509635,1.1491939068329207,0.9361850449000255,0.14579007347485273,0.7462157430273728,0.7603240629269187,0.5917933518534471,0.46569219668194317
200,0.25,1.5,Calibration by time miss.,-0.24484680934357073,0.5692243915932417,0.619650198120216,0.4956265213337851,0.41912651151619684,0.18402784870517674,1.4189141074823395,1.4307982015334864,1.1414866459696977,0.9371260946073634,0.1544495272006321,0.7341826861947747,0.7502525395896197,0.5983383497170227,0.494819836844163
200,0.25,1.5,Aggregated cali. with time miss.,-0.24026306862728575,0.5709160155634762,0.619412172122146,0.4962709280141176,0.41110447796050664,0.19181484277893368,1.4363245678093102,1.4490759807556362,1.150669179355313,0.9575096534748262,0.14794978076086096,0.7455215404430978,0.7600601982026399,0.5900886985308195,0.46849964612432693
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.25,2,Naive,-0.733371565969918,0.5748512403743066,0.9318196189891307,0.7961754450652101,0.7429154624374164,0.654345391843731,1.379612019153269,1.5269241026387939,1.2093582910668657,1.0140191164166632,0.8407822968761312,0.7256899763005741,1.1106488249862918,0.9331374113955028,0.8932986774586287
200,0.25,2,IPW,-0.035601677959007816,0.6307246523717231,0.6317286336576236,0.5011652057108317,0.42868443932995604,-0.08766852796132518,1.5877370053981688,1.5901555172704493,1.2558600996234615,1.0250636181602075,0.12248024774840438,0.950120276545195,0.9579822289535587,0.7477791385970891,0.6110388938176881
200,0.25,2,Aggregated cali.,-0.038542263506968766,0.6283793031358781,0.6295602073557162,0.4999000026798047,0.43177712368339627,-0.08193727789637428,1.5820782650317444,1.5841986473277025,1.2513353887075866,1.0242761773075513,0.1280953948543706,0.9382451580618599,0.946948999054026,0.7418969206441051,0.5967165200201134
200,0.25,2,Calibration by time,-0.035747878440417935,0.625401389134876,0.6264222284887594,0.49939027366190974,0.42751274361759783,-0.09148660606294357,1.5753914201190793,1.578045603166691,1.258086277139457,1.0761969581135107,0.13340336134618536,0.9547120098378595,0.9639872813201977,0.7492850481292757,0.6217376980948162
200,0.25,2,Aggregated cali. with time,-0.03922555393607752,0.6306318997971281,0.6318506446331499,0.5009586483939976,0.4344400254884917,-0.09143251292605825,1.5710198533030912,1.573678265685982,1.2394559390484694,0.9934951557014458,0.14225173307806216,0.9280601413559705,0.9388989197657946,0.7372461920083934,0.595933040527493
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.25,2,Naive miss.,-0.733371565969918,0.5748512403743066,0.9318196189891307,0.7961754450652101,0.7429154624374164,0.654345391843731,1.379612019153269,1.5269241026387939,1.2093582910668657,1.0140191164166632,0.8407822968761312,0.7256899763005741,1.1106488249862918,0.9331374113955028,0.8932986774586287
200,0.25,2,IPW miss.,-0.3089554603521094,0.6561995842027789,0.7252939892135353,0.5787999368485497,0.5055369676443036,0.1791046764481976,1.5995968028218353,1.609592624462305,1.2660651950935535,1.0522694747051895,0.27322803888753544,0.9809253813573421,1.018267236547153,0.7895231509491752,0.6353647247889183
200,0.25,2,Aggregated cali. miss.,-0.3116591764047172,0.6520871579052067,0.7227372300789248,0.5775426034952509,0.5079189641947863,0.19571420199990808,1.5843737904541553,1.5964160976207076,1.2558375204095116,1.0516500445226582,0.2783927005044733,0.9606768813194735,1.0002012627445953,0.7811972584841507,0.633526455322849
200,0.25,2,Calibration by time miss.,-0.33128978614372784,0.6321131647767775,0.713666571647622,0.576551855119731,0.5301439301510058,0.2243446313243238,1.6113202504401836,1.6268630744726682,1.2827776383153682,1.0456651944024427,0.2558797250663236,1.0121935204657604,1.0440355149959637,0.8025243847138978,0.6442631243958701
200,0.25,2,Aggregated cali. with time miss.,-0.3117275891478073,0.6525004722308466,0.7231396518635816,0.578753038078926,0.508877046787795,0.18907393727647026,1.576045795398498,1.5873466234413045,1.2548635886874402,1.0525393150742555,0.28573788536758826,0.9493776766399893,0.9914454659922981,0.7784946333215982,0.630791893367282
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.5,1,Naive,-0.26288758679847035,0.689136311501869,0.7375762598695299,0.5924254858773693,0.504267551012461,0.27270990116503846,1.097386093966861,1.1307638698796885,0.9018781177819034,0.7297269058764368,0.22929372814218096,0.4183395446737589,0.47705721711676086,0.39251834185784734,0.34430806760046573
200,0.5,1,IPW,8.946632849671232e-4,0.6977887955418247,0.697789369083611,0.5580953264605745,0.4863070984959066,0.010530557625562764,1.1189537366952542,1.1190032875323368,0.8904864729158745,0.745812385623577,-0.00633200979245796,0.4213240848104746,0.4213716634865185,0.34041447307139516,0.2949388728932427
200,0.5,1,Aggregated cali.,4.780302342766163e-4,0.6970744458319809,0.6970746097404984,0.5573146606388288,0.48389855388457903,0.011818633501653686,1.1183980085170966,1.1184604532806934,0.8899728288483444,0.7249121081871723,-0.0062357911120178855,0.4211458683360649,0.4211920316284851,0.34012845052929264,0.29681910232362374
200,0.5,1,Calibration by time,-4.0868932897808463e-4,0.6981089115416388,0.6981090311697875,0.5587888952292692,0.484069477426452,0.012091501366191082,1.1162855079971445,1.1163509930885231,0.887662854944925,0.7589284656972035,-0.004060869748510942,0.4247577206931647,0.4247771320958402,0.3429882109527662,0.3058007178104225
200,0.5,1,Aggregated cali. with time,4.2652190107617116e-4,0.6975480570362763,0.69754818743655,0.5578841622207327,0.4864427404843781,0.009947328111503673,1.1201470484246732,1.120191215565925,0.8903875261630299,0.7310078027810105,-0.005061652269997552,0.420094559221115,0.4201250516344928,0.3395219855281452,0.2998217282604214
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.5,1,Naive miss.,-0.26288758679847035,0.689136311501869,0.7375762598695299,0.5924254858773693,0.504267551012461,0.27270990116503846,1.097386093966861,1.1307638698796885,0.9018781177819034,0.7297269058764368,0.22929372814218096,0.4183395446737589,0.47705721711676086,0.39251834185784734,0.34430806760046573
200,0.5,1,IPW miss.,-0.13143512329344276,0.703204088655691,0.7153818434495268,0.5747627109660092,0.49334263898124675,0.13556996499289564,1.1255975597418264,1.1337323678474251,0.9089185993397803,0.7438088879109683,0.052326365138974484,0.4243701284632781,0.4275839735310439,0.349159017344953,0.3011486780708481
200,0.5,1,Aggregated cali. miss.,-0.13227486578779235,0.7025524600321347,0.7148962156959447,0.5745155486978057,0.4916492720882957,0.13797901471583085,1.1231990914773764,1.13164234968366,0.9069854177383881,0.7398930301064852,0.05223639261562729,0.42320563200360534,0.4264172225333599,0.34825140418166756,0.299998390611806
200,0.5,1,Calibration by time miss.,-0.12955031458362498,0.7012268642364834,0.7130935416448866,0.5723897543671479,0.4913976625845393,0.14029929213168568,1.1200688033555284,1.1288215162827724,0.9028673659512216,0.7339672467147333,0.05277499072978875,0.42460859991360916,0.42787575622734775,0.3500318730785623,0.305798413786178
200,0.5,1,Aggregated cali. with time miss.,-0.13184177106852246,0.7026701633135681,0.714931892567118,0.5745635765226065,0.49291357230763566,0.13543453818019024,1.1259873686377633,1.134103200094187,0.9092595211191992,0.7474654137162879,0.053311674179476576,0.42337327685719134,0.4267166110671281,0.3483163059630002,0.29710549394731967
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.5,1.5,Naive,-0.4570902618348214,0.6850989530261871,0.8235848972035629,0.6619087040408931,0.554221642104423,0.4921108323299066,1.0716978359502467,1.1792833937933982,0.9722789904344494,0.8999246531313698,0.4616909404438214,0.45060039940126867,0.6451350590601034,0.5257159146023691,0.45536610595962346
200,0.5,1.5,IPW,-0.003094299221444885,0.7265000918642205,0.7265066814327261,0.5776362569809753,0.48264596864179055,0.031278145807082325,1.1628069348851093,1.1632275315784235,0.9396881989578966,0.809846322551317,-0.006017405810279097,0.4920714083446569,0.4921081995689359,0.3861370809207377,0.30794709324190905
200,0.5,1.5,Aggregated cali.,-0.004582077660415962,0.725056416426956,0.7250708947665638,0.5767007938129567,0.48571745586563964,0.0347725300904953,1.162275727261395,1.1627957666890172,0.9411943023930474,0.8146163375136615,-0.005332338212071797,0.4912370923972685,0.49126603259102947,0.3858016772277494,0.3141522230068492
200,0.5,1.5,Calibration by time,-0.003084518391759161,0.7271565039781995,0.7271630460436685,0.5779380555338698,0.48191232617539015,0.02092697025194834,1.1439320745481238,1.14412347640624,0.9226912365710406,0.7842169512200798,0.0033740712558620878,0.4864447707175437,0.4864564721691791,0.38431322499185244,0.30979718741592754
200,0.5,1.5,Aggregated cali. with time,-0.005422078816593512,0.7272010577096493,0.7272212711910495,0.578478501863229,0.48747498046896,0.03204158975774529,1.1611196792492495,1.1615616957415924,0.937928753761031,0.794919138545263,-0.0026934560593621093,0.4881322738221526,0.48813970485131475,0.38443740142968513,0.317953816162204
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.5,1.5,Naive miss.,-0.4570902618348214,0.6850989530261871,0.8235848972035629,0.6619087040408931,0.554221642104423,0.4921108323299066,1.0716978359502467,1.1792833937933982,0.9722789904344494,0.8999246531313698,0.4616909404438214,0.45060039940126867,0.6451350590601034,0.5257159146023691,0.45536610595962346
200,0.5,1.5,IPW miss.,-0.20084618418273692,0.7296745850201494,0.756811858869226,0.5999718549434624,0.5043661476052037,0.23249662130934734,1.1829220141258692,1.2055534705784996,0.9794272264629437,0.8670431302040233,0.07095973315421267,0.5196272973755155,0.5244500089685379,0.4114456711086902,0.3294319842190436
200,0.5,1.5,Aggregated cali. miss.,-0.20273486643456806,0.7274798559829236,0.755200878527811,0.5988400830776331,0.5053621916294802,0.2378446665885905,1.1782132966308616,1.2019803067365125,0.9795393960976363,0.8806740343809532,0.0719476821811158,0.5161924082748084,0.5211823781861599,0.41000882895758806,0.3287363567238393
200,0.5,1.5,Calibration by time miss.,-0.20499012212864898,0.7274302086081017,0.7557616413697805,0.599280367003054,0.5044861105735094,0.2304380037132132,1.1479026118568736,1.1708040313661219,0.9573622459077396,0.865148996753895,0.08878387774250829,0.4954081151099652,0.5033008816441763,0.3985242366720186,0.3175041666176266
200,0.5,1.5,Aggregated cali. with time miss.,-0.203569586811426,0.7290495061470048,0.7569370905747493,0.6000390727027856,0.5029015802831722,0.23431239770748302,1.1756452042840586,1.1987676781076204,0.978167210151278,0.8719082334450334,0.07565659406524361,0.5107318401103513,0.5163050771860166,0.40842283364852267,0.3321832003907357
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.5,2,Naive,-0.7073927957710566,0.7051925547647939,0.9988498920280708,0.8279656404742368,0.728728687526818,0.6512738590414688,1.1503027579210194,1.3218752113386008,1.054892785697296,0.8706421861179092,0.820450891767198,0.524910083989432,0.9739970544490281,0.8459018990455529,0.7957417424049655
200,0.5,2,IPW,-0.04143127944301739,0.7837387870248472,0.7848331269788911,0.6231780959806921,0.5325856415019246,-0.060266168052169,1.2735494628344315,1.2749746057461542,0.9975741663320664,0.8675991808045711,0.09873511231655296,0.6559832841344388,0.663372211859953,0.5154447336869641,0.4431207093147642
200,0.5,2,Aggregated cali.,-0.04584129688865346,0.7752177294180149,0.7765719235875428,0.6188883227966837,0.5272743624976215,-0.04918797480740711,1.264597738831458,1.2655539885454474,0.9894419283798899,0.8510463732355751,0.09980506530426458,0.6521320142589105,0.6597251056931004,0.5134850995043801,0.4424324872769303
200,0.5,2,Calibration by time,-0.04883820538971406,0.7588854258183314,0.7604552977165443,0.6141669562490648,0.523251796050836,-0.07096649370920183,1.2270462904433044,1.22909675864842,0.9588683687582626,0.7959579410557551,0.11485690319830155,0.6221321720918473,0.6326456731568026,0.5029947395725726,0.44385509237823273
200,0.5,2,Aggregated cali. with time,-0.04977463073664978,0.7736107796172327,0.7752103922193977,0.6192405435911156,0.5265523035453299,-0.04266001231742589,1.2562019969200997,1.2569261448935531,0.9891330883834999,0.8664640570581739,0.1033244338469097,0.6404390044928082,0.6487203227165954,0.5041400674963231,0.4431028712112004
