size,treat,conf,var,Bias 0,SD 0,rootMSE 0,MAE 0,MedAE 0,Bias 1,SD 1,rootMSE 1,MAE 1,MedAE 1,Bias 2,SD 2,rootMSE 2,MAE 2,MedAE 2,Bias 3,SD 3,rootMSE 3,MAE 3,MedAE 3,Bias 4,SD 4,rootMSE 4,MAE 4,MedAE 4
200,0.25,1,Naive,0.2169557397570676,1.405325389445747,1.4219737139744801,1.1219225863540787,0.9644173032575836,0.4716608210638471,1.1586291435318907,1.250953805049597,1.005506613368779,0.8763139564831519,0.7263659023706275,1.2466303031616741,1.442807865548169,1.1539326579083087,1.0100150900223994,0.981070983677407,1.6155297310106713,1.8900890420276941,1.5181524370744257,1.3235127653985472,1.2357760649841865,2.1236687805062227,2.4570534328916387,1.9725323572327154,1.7530764811921529
200,0.25,1,IPW,-0.04367613096757861,1.4517928360505767,1.45244966977313,1.1442989001746215,0.9539503097680395,-0.022017829550899037,1.18501604670975,1.1852205768453974,0.9389841346788009,0.8138174776209084,-3.595281342203549e-4,1.2524669244095137,1.252466976011865,1.020263762868759,0.8967791310076763,0.021298773282458328,1.6127410009510013,1.612881636665188,1.289905870756364,1.0727081738829511,0.042957074699138786,2.1215662726357247,2.1220011214540273,1.7056257507006676,1.4411533222790922
200,0.25,1,Aggregated cali.,-0.04337512702009505,1.4495715823976878,1.4502203881269031,1.1424109378506333,0.9705410197533411,-0.022333352244087834,1.1822372638245828,1.182448191929733,0.9358535941869541,0.8088908593534399,-0.0012915774680788417,1.2482279775112133,1.2482286457272522,1.01627505825738,0.901397550282411,0.019750197307928374,1.6069916552657704,1.607113017303862,1.2860426516157637,1.0778653955663557,0.04079197208393737,2.1144106121403436,2.114804062252151,1.7008280968789322,1.4283133839635624
200,0.25,1,Calibration by time,-0.03506440528525978,1.4396859156178474,1.4401128595170618,1.1351929380734316,0.9285916301444175,-0.016946615765602857,1.1818239061536069,1.1819454018448046,0.9360542616314453,0.7943842563008303,0.0011711737540540668,1.26087872154308,1.260879265468377,1.0302188934694063,0.9061371101636695,0.019288963273709214,1.6285016891241575,1.6286159202170438,1.3058753935956637,1.1289478441201481,0.03740675279336614,2.140867942745774,2.1411947163747316,1.7191127095694687,1.4333520655267762
200,0.25,1,Aggregated cali. with time,-0.04213804306420954,1.4469482824857651,1.4475617247156636,1.139369944131242,0.9682215489517887,-0.020266837454908426,1.1853337843262275,1.1855070328621249,0.9383494605809813,0.7944748072452015,0.0016043681543909116,1.254049516315417,1.254050542589136,1.0207991858385566,0.8951697459562524,0.023475573763692026,1.611375610931817,1.6115466056150598,1.288625404422955,1.0835931482870222,0.045346779372994916,2.1158189172682054,2.1163048034414853,1.7009942718404616,1.4391694440757021
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.25,1,Naive miss.,0.2169557397570676,1.405325389445747,1.4219737139744801,1.1219225863540787,0.9644173032575836,0.4716608210638471,1.1586291435318907,1.250953805049597,1.005506613368779,0.8763139564831519,0.7263659023706275,1.2466303031616741,1.442807865548169,1.1539326579083087,1.0100150900223994,0.981070983677407,1.6155297310106713,1.8900890420276941,1.5181524370744257,1.3235127653985472,1.2357760649841865,2.1236687805062227,2.4570534328916387,1.9725323572327154,1.7530764811921529
200,0.25,1,IPW miss.,0.08261540201141049,1.4575600478033448,1.4598995162688408,1.151897128275048,0.9372887249222615,0.1636036384873103,1.1911827504845955,1.2023653752409593,0.9533401266885049,0.7787913419670431,0.244591874963211,1.2684509510494262,1.2918177117984615,1.0467683339252898,0.9102825832658397,0.3255801114391108,1.6415345574951905,1.6735107147597337,1.3404519802859542,1.1085564758541437,0.40656834791500884,2.1623875715861542,2.200276762427083,1.763741696413321,1.528409770675914
200,0.25,1,Aggregated cali. miss.,0.08054334429054766,1.4520251719253634,1.45425731224374,1.149392147887242,0.9334019443749,0.1623287424885893,1.1874904153321766,1.1985341493439858,0.9508481252377734,0.7846589280096552,0.24411414068663007,1.264831370407889,1.2881731674161943,1.043335901294033,0.9045636224231259,0.3258995388846717,1.6362676514223533,1.6684071255351511,1.3349190049181947,1.0942042182105496,0.40768493708271336,2.154728238334422,2.1929570878154223,1.7578218564410786,1.5166288511065034
200,0.25,1,Calibration by time miss.,0.09198637096885864,1.4487408860735533,1.4516582405735878,1.1452932965151057,0.8931311887846007,0.16724874843226,1.1862537099103223,1.1979858129911891,0.950892916701672,0.7907378542184844,0.24251112589566048,1.2669527268673717,1.289953820219875,1.049159302381687,0.9259254499081138,0.31777350335906185,1.6409644111019541,1.6714497294086577,1.33851549677206,1.1560810816945946,0.3930358808224632,2.16101430431072,2.1964653484745518,1.7595652697338768,1.5104825641763284
