size,treat,conf,var,Bias 0,SD 0,rootMSE 0,MAE 0,MedAE 0,Bias 1,SD 1,rootMSE 1,MAE 1,MedAE 1,Bias 2,SD 2,rootMSE 2,MAE 2,MedAE 2,Bias 3,SD 3,rootMSE 3,MAE 3,MedAE 3,Bias 4,SD 4,rootMSE 4,MAE 4,MedAE 4
200,0.25,1,Naive,0.2169557397570685,1.405325389445747,1.4219737139744801,1.1219225863540787,0.9644173032575836,0.47166082106384977,1.1586291435318907,1.2509538050495979,1.005506613368779,0.8763139564831519,0.726365902370631,1.2466303031616741,1.4428078655481709,1.1539326579083087,1.0100150900223994,0.9810709836774123,1.6155297310106713,1.890089042027697,1.5181524370744257,1.3235127653985472,1.2357760649841794,2.1236687805062235,2.457053432891636,1.9725323572327154,1.7530764811921529
200,0.25,1,IPW,-0.04367613096758305,1.451792836050576,1.4524496697731293,1.1442989001746215,0.9539503097680395,-0.022017829550904366,1.1850160467097506,1.1852205768453983,0.9389841346788009,0.8138174776209084,-3.5952813422568397e-4,1.252466924409514,1.2524669760118652,1.020263762868759,0.8967791310076763,0.021298773282453,1.6127410009510008,1.6128816366651872,1.289905870756364,1.0727081738829511,0.04295707469913168,2.1215662726357234,2.122001121454026,1.7056257507006676,1.4411533222790922
200,0.25,1,Aggregated cali.,-0.0433751270200986,1.4495715823976876,1.4502203881269031,1.1424109378506333,0.9705410197533411,-0.02233335224408961,1.182237263824583,1.1824481919297334,0.9358535941869541,0.8088908593534399,-0.001291577468080618,1.248227977511213,1.248228645727252,1.01627505825738,0.901397550282411,0.019750197307928374,1.6069916552657706,1.6071130173038621,1.2860426516157637,1.0778653955663557,0.04079197208393737,2.1144106121403436,2.114804062252151,1.7008280968789322,1.4283133839635624
200,0.25,1,Calibration by time,-0.03506440528525445,1.439685915617847,1.4401128595170611,1.1351929380734316,0.9285916301444175,-0.016946615765604633,1.1818239061536064,1.1819454018448041,0.9360542616314453,0.7943842563008303,0.0011711737540593958,1.2608787215430808,1.2608792654683778,1.0302188934694063,0.9061371101636695,0.019288963273709214,1.6285016891241575,1.6286159202170438,1.3058753935956637,1.1289478441201481,0.03740675279335903,2.140867942745773,2.1411947163747307,1.7191127095694687,1.4333520655267762
200,0.25,1,Aggregated cali. with time,-0.04213804306421309,1.4469482824857656,1.447561724715664,1.139369944131242,0.9682215489517887,-0.02026683745491198,1.185333784326228,1.1855070328621253,0.9383494605809813,0.7944748072452015,0.0016043681543891353,1.2540495163154173,1.2540505425891362,1.0207991858385566,0.8951697459562524,0.02347557376369025,1.6113756109318174,1.61154660561506,1.288625404422955,1.0835931482870222,0.045346779372991364,2.1158189172682063,2.116304803441486,1.7009942718404616,1.4391694440757021
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.25,1,Naive miss.,0.2169557397570685,1.405325389445747,1.4219737139744801,1.1219225863540787,0.9644173032575836,0.47166082106384977,1.1586291435318907,1.2509538050495979,1.005506613368779,0.8763139564831519,0.726365902370631,1.2466303031616741,1.4428078655481709,1.1539326579083087,1.0100150900223994,0.9810709836774123,1.6155297310106713,1.890089042027697,1.5181524370744257,1.3235127653985472,1.2357760649841794,2.1236687805062235,2.457053432891636,1.9725323572327154,1.7530764811921529
200,0.25,1,IPW miss.,0.08261540201141315,1.457560047803345,1.4598995162688413,1.151897128275048,0.9372887249222615,0.16360363848731652,1.1911827504845958,1.2023653752409604,0.9533401266885049,0.7787913419670431,0.24459187496320567,1.268450951049426,1.2918177117984602,1.0467683339252898,0.9102825832658397,0.32558011143910903,1.641534557495191,1.673510714759734,1.3404519802859542,1.1085564758541437,0.4065683479150124,2.1623875715861547,2.200276762427084,1.763741696413321,1.528409770675914
200,0.25,1,Aggregated cali. miss.,0.08054334429054677,1.4520251719253636,1.45425731224374,1.149392147887242,0.9334019443749,0.1623287424885831,1.1874904153321764,1.1985341493439847,0.9508481252377734,0.7846589280096552,0.24411414068663362,1.26483137040789,1.2881731674161958,1.043335901294033,0.9045636224231259,0.32589953888466994,1.6362676514223535,1.6684071255351511,1.3349190049181947,1.0942042182105496,0.40768493708272047,2.1547282383344215,2.1929570878154228,1.7578218564410786,1.5166288511065034
200,0.25,1,Calibration by time miss.,0.0919863709688542,1.4487408860735536,1.4516582405735878,1.1452932965151057,0.8931311887846007,0.16724874843225734,1.1862537099103223,1.1979858129911887,0.950892916701672,0.7907378542184844,0.24251112589566048,1.2669527268673717,1.289953820219875,1.049159302381687,0.9259254499081138,0.3177735033590636,1.6409644111019541,1.6714497294086579,1.33851549677206,1.1560810816945946,0.39303588082246677,2.1610143043107195,2.1964653484745518,1.7595652697338768,1.5104825641763284
200,0.25,1,Aggregated cali. with time miss.,0.0826058828066607,1.4508170875783282,1.453166870487877,1.146136900427475,0.9346352481926914,0.16462074032132534,1.1887921201148048,1.2001361143599478,0.9514372445508031,0.7755251087635742,0.24663559783597577,1.2668362136696134,1.2906212110393473,1.045559869280587,0.9027544743376481,0.3286504553506404,1.6370131593430735,1.6696775753613553,1.3366146144490763,1.114805882842127,0.41066531286530505,2.1536111486616942,2.192415786029352,1.7582042848376502,1.5259004738406858
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.25,1.5,Naive,0.46516507618436265,1.3669590571230856,1.4439375374137342,1.1662812728632213,1.0080705109560455,0.964183862376558,1.1043309073694552,1.466014076821509,1.2314821472582107,1.133898313280774,1.4632026485687533,1.1884997750967838,1.8850712735023365,1.6076918502348043,1.5797370707176412,1.9622214347609486,1.5644589963152797,2.5095507387154234,2.1515089640211404,2.081898277640576,2.461240220953144,2.0795546302541745,3.222150040803354,2.7425712972217275,2.5841887714624434
200,0.25,1.5,IPW,-0.007440307181298067,1.456136395374109,1.456155403830256,1.1535048932583944,0.9602089577054969,0.0351144262249079,1.1355131400395586,1.1360559467436464,0.8905205863229569,0.7371044026276081,0.07766915963111387,1.2976458184223028,1.2999681413121982,0.9953956302536892,0.817377311296724,0.12022389303731984,1.8176404866013185,1.82161212199231,1.3501875622744042,1.0811333363519253,0.1627786264435258,2.479755410638852,2.4850923077059943,1.8173764191591453,1.4776380389839332
200,0.25,1.5,Aggregated cali.,-0.0050871031625092655,1.4534743468591165,1.4534832491625493,1.1521057942489914,0.9546059431692768,0.04037305096886712,1.134335158162229,1.135053405918622,0.8882311591655316,0.7354425832173064,0.08583320510025771,1.2768312361233312,1.2797129930722813,0.9883861463626301,0.8027725516484594,0.1312933592316341,1.7729447088021228,1.7777994506264678,1.3385425047807507,1.079266324157409,0.17675351336301048,2.413673767481962,2.4201369507357917,1.803444824628431,1.4670125313284856
200,0.25,1.5,Calibration by time,-0.01325909979284745,1.4111226710888611,1.4111849618630008,1.1303284278769214,0.9756817445859127,0.03803041358317216,1.1146543309189534,1.1153029139178678,0.8772506286245323,0.7461452168985474,0.08931992695919178,1.2448856956414271,1.2480859123332158,0.9855245116658434,0.8285458888563184,0.1406094403352114,1.7067880788749785,1.712570162329451,1.3372388073859411,1.1046550831035233,0.191898953711231,2.3092444068066262,2.31720412109144,1.8030945116469257,1.4521690618364573
200,0.25,1.5,Aggregated cali. with time,-0.015270972938864702,1.437861213337857,1.4379423046269673,1.1441283584374309,0.9569501756808307,0.03691745632859522,1.1349942002397009,1.1355944404405702,0.8912104457637491,0.7171362786027231,0.08910588559605515,1.26926072219482,1.2723846272862516,0.9914754917965067,0.7991047730249363,0.14129431486350086,1.7423770280302968,1.7480966195323517,1.3353823847221544,1.0836340455894202,0.19348274413096078,2.358553924607465,2.366476745619471,1.7920241000541572,1.4575626154908505
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.25,1.5,Naive miss.,0.46516507618436265,1.3669590571230856,1.4439375374137342,1.1662812728632213,1.0080705109560455,0.964183862376558,1.1043309073694552,1.466014076821509,1.2314821472582107,1.133898313280774,1.4632026485687533,1.1884997750967838,1.8850712735023365,1.6076918502348043,1.5797370707176412,1.9622214347609486,1.5644589963152797,2.5095507387154234,2.1515089640211404,2.081898277640576,2.461240220953144,2.0795546302541745,3.222150040803354,2.7425712972217275,2.5841887714624434
200,0.25,1.5,IPW miss.,0.1907437606721345,1.454032809292477,1.4664905702848283,1.1596706110264066,0.9533931430291531,0.3334140527241374,1.1328685901138884,1.1809132792125607,0.9482684181419289,0.7889607291265932,0.47608434477614026,1.2820483676499572,1.3675906991255997,1.0747223460191742,0.9167372773972033,0.6187546368281431,1.7874511836916953,1.8915176538106035,1.4685219202201947,1.256022654374675,0.761424928880146,2.43667650576095,2.5528729533698944,1.9702965525493485,1.5755296323370729
200,0.25,1.5,Aggregated cali. miss.,0.19420205712896177,1.4338454939816874,1.4469372272509646,1.1491939068329204,0.9361850449000286,0.33999213060380384,1.1305196701781892,1.1805377476100947,0.9465734571455887,0.808222823781179,0.48578220407866013,1.2703985276250152,1.3601091017971048,1.0742409507481954,0.9209818610938996,0.6315722775535164,1.750264546749319,1.8607282244814085,1.4626719832137203,1.2560458637396295,0.7773623510283727,2.3720487808026154,2.496178608053425,1.9580882870763392,1.5584357932619852
200,0.25,1.5,Calibration by time miss.,0.18402784870517053,1.4189141074823401,1.4307982015334864,1.141486645969698,0.9371260946073647,0.3384773759058106,1.1173966192597615,1.167536782603969,0.9363356594789135,0.7946347361967625,0.4929269031064365,1.2497526149083407,1.3434502336433372,1.0717476638612278,0.9022879839419176,0.6473764303070766,1.7184983053886544,1.8363912078151567,1.4813866097837405,1.2878046103605314,0.8018259575077025,2.3286561975082254,2.462836688115274,1.9839047292864471,1.7007506454710821
200,0.25,1.5,Aggregated cali. with time miss.,0.191814842778939,1.4363245678093104,1.449075980755637,1.150669179355313,0.9575096534748226,0.33976462353979286,1.1326848647143397,1.1825459831068217,0.9500995698015866,0.798266042886624,0.48771440430066093,1.270640183506952,1.3610260159544818,1.077469949940104,0.9333403077167901,0.6356641850615148,1.7486230822168385,1.860578307900916,1.4627808698581644,1.2701489560212451,0.7836139658223829,2.3690596501375287,2.4952944662587684,1.957124393093471,1.542778154860713
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.25,2,Naive,0.6543453918437336,1.3796120191532693,1.5269241026387952,1.2093582910668657,1.0140191164166694,1.4951276887198617,1.1192635720403987,1.867661037038956,1.5784698672909434,1.4676829789425696,2.3359099855959897,1.2866329886208259,2.666814562022342,2.3704350290727376,2.3210102596122155,3.1766922824721178,1.7639018778050946,3.6335552413637875,3.231644520484177,3.1042221386412834,4.01747457934826,2.3707650885415825,4.6648289465699655,4.112058506477586,3.9573471472320847
200,0.25,2,IPW,-0.08766852796132696,1.587737005398169,1.5901555172704498,1.2558600996234615,1.0250636181602033,0.034811719787086304,1.2634573780541039,1.2639368663006414,0.98356781187652,0.8056366979509662,0.15729196753548536,1.5739114885572802,1.581751604033888,1.2036509587189785,1.0064562131688746,0.2797722152838844,2.272339605180193,2.289497712100916,1.73394247484804,1.3593090417290057,0.40225246303229767,3.1073001574571104,3.1332285764923906,2.3914058359317294,2.023115998322851
200,0.25,2,Aggregated cali.,-0.0819372778963725,1.5820782650317444,1.5841986473277023,1.2513353887075866,1.0242761773075486,0.04615811695799721,1.2525535863105008,1.2534037890242735,0.9759451881070371,0.8048873626047808,0.17425351181236692,1.5477135683729693,1.5574920789861926,1.1904820382110834,0.9922135774725263,0.30234890666673664,2.2321630868118323,2.2525467603332676,1.7166765733789757,1.3558556782491067,0.43044430152110635,3.054553118833903,3.084732898078846,2.3687827867962636,1.9992513136641819
200,0.25,2,Calibration by time,-0.09148660606294357,1.5753914201190795,1.5780456031666914,1.258086277139457,1.0761969581135133,0.04191675528323913,1.2239696616757303,1.2246872037692222,0.966763417148063,0.8153523143931523,0.17532011662942182,1.5288215665268738,1.5388412931724436,1.1860956974212096,0.9483485305785138,0.3087234779756187,2.2359425474081505,2.257155125631247,1.7272629272466358,1.3793192992778458,0.4421268393218014,3.07969687011558,3.1112712761584107,2.397630634067097,1.9770210188541242
200,0.25,2,Aggregated cali. with time,-0.0914325129260618,1.5710198533030908,1.5736782656859818,1.2394559390484692,0.9934951557014529,0.05081922015200746,1.250749286111528,1.2517812787565386,0.9764699025799363,0.777937085794342,0.19307095323006251,1.5437731134761532,1.5557994147296177,1.1908881884035296,0.9782098075434646,0.3353226863081318,2.2191638801635505,2.244355059025966,1.7116431176747642,1.354006665850335,0.47757441938618683,3.031292212918534,3.068682095974198,2.361131289892119,1.9907289877468486
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.25,2,Naive miss.,0.6543453918437336,1.3796120191532693,1.5269241026387952,1.2093582910668657,1.0140191164166694,1.4951276887198617,1.1192635720403987,1.867661037038956,1.5784698672909434,1.4676829789425696,2.3359099855959897,1.2866329886208259,2.666814562022342,2.3704350290727376,2.3210102596122155,3.1766922824721178,1.7639018778050946,3.6335552413637875,3.231644520484177,3.1042221386412834,4.01747457934826,2.3707650885415825,4.6648289465699655,4.112058506477586,3.9573471472320847
200,0.25,2,IPW miss.,0.1791046764481905,1.5995968028218353,1.6095926244623042,1.2660651950935535,1.0522694747051915,0.4523327153357286,1.2731145549029612,1.3510831045012583,1.06899176019196,0.9175931769133996,0.7255607542232667,1.614732366615529,1.7702539433270084,1.4136660133417818,1.200888218864506,0.9987887931108048,2.349112549297691,2.552627826870113,2.0129038830060337,1.7166655339067205,1.272016831998343,3.217720952836355,3.460022391720782,2.7095064443779866,2.3282632992512333
200,0.25,2,Aggregated cali. miss.,0.1957142019999054,1.5843737904541555,1.5964160976207074,1.255837520409512,1.0516500445226598,0.47410690250437426,1.267210095298124,1.3529962234344088,1.0632513087506665,0.9190119545731079,0.7524996030088573,1.5959958283079296,1.764499457779685,1.4070561102306198,1.1815764030615057,1.0308923035133262,2.309628559515701,2.529253451984119,1.9975618827860682,1.7395334336731452,1.309285004017795,3.1571134953447975,3.4178345255781655,2.684287766472255,2.325232291158386
